,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Travel Sustainability,Description
0,Emporium Hotel South Bank,"South Brisbane, Brisbane",9.2,Superb ,"4,747 reviews",1.4 km from centre,Travel Sustainable,"Boasting a fitness centre and views of the river, Emporium Hotel South Bank is set in Brisbane, 400 metres from South Bank Parklands. "
1,The Calile Hotel,"Fortitude Valley, Brisbane",9.3,Superb ,992 reviews,2.3 km from centre,Travel Sustainable,"Located in the city of Brisbane, with direct access to restaurants, shopping and bars, The Calile Hotel features an outdoor pool, fitness centre and spa facilities. "
2,Kingsford Smith Motel,"Hamilton, Brisbane",9.3,Superb ,"1,617 reviews",6.1 km from centre,Travel Sustainable,"Featuring a saltwater swimming pool, Kingsford Smith Motel offers modern and spacious rooms, just 10 minutes’ drive from Brisbane Airport. Free cable TV, free Wi-Fi and free car parking are provided. "
3,Jephson Hotel & Apartments,"Toowong, Brisbane",9.1,Superb ,"1,519 reviews",3.6 km from centre,Not Travel Sustainable,"This boutique hotel, located in the inner city suburb of Toowong, offers stylish accommodation and modern facilities. Guests enjoy free WiFi and in-room movies. "
4,W Brisbane,"Brisbane CBD, Brisbane",8.8,Fabulous ,"2,206 reviews",150 m from centre,Travel Sustainable,"W Brisbane is located on North Quay with views over the Brisbane River. Offering 312 spacious guest rooms, W Brisbane boasts three restaurants and bars, a spa and fitness centre. "
5,Alcyone Hotel Residences,"Hamilton, Brisbane",9.2,Superb ,893 reviews,5.7 km from centre,Not Travel Sustainable,"Guests staying at Alcyone Hotel Residences can enjoy a day of shopping at Portside Wharf, a stroll along the Brisbane River, 3 minutes' walk from the property, or a day in, relaxing by the properties..."
6,Adina Apartment Hotel Brisbane,"Brisbane CBD, Brisbane",8.9,Fabulous ,"3,509 reviews",400 m from centre,Travel Sustainable,"When staying at Adina Apartment Hotel Brisbane, you can explore all the city has to offer and then return to the comfort of your hotel where there is a swimming pool, fitness centre, restaurant and..."
7,Eatons Hill Hotel,Brisbane,8.9,Fabulous ,"1,474 reviews",15.7 km from centre,Travel Sustainable,"Offering modern accommodation with a fitness centre and indoor pool, Eatons Hill Hotel is set in Brisbane in the Queensland Region, 15 km from Brisbane Entertainment Centre. "
8,Ovolo The Valley Brisbane,"Fortitude Valley, Brisbane",9.0,Superb ,"1,363 reviews",2.5 km from centre,Travel Sustainable,"Located in the heart of Fortitude Valley and inspired by the eclectic culture and iconic history of the neighbourhood, Ovolo The Valley Brisbane features a rooftop pool looking out onto the Fortitude..."
9,"Hotel X Brisbane Fortitude Vly, Vignette Collection","Fortitude Valley, Brisbane",8.8,Fabulous ,"1,120 reviews",1.9 km from centre,Travel Sustainable,"Located in Brisbane, 400 metres from New Farm Riverwalk, Hotel X Brisbane Fortitude Vly, Vignette Collection provides accommodation with an outdoor swimming pool, private parking, a fitness centre and..."
10,Crystalbrook Vincent,"Brisbane CBD, Brisbane",8.7,Fabulous ,"2,089 reviews",1.5 km from centre,Travel Sustainable,"Crystalbrook Vincent has a restaurant, outdoor swimming pool, a fitness centre and bar in Brisbane. "
11,Pullman Brisbane Airport,Brisbane,8.8,Fabulous ,"1,687 reviews",13.1 km from centre,Travel Sustainable,"Offering guests a 5-star luxury escape within the heart of the Brisbane Airport precinct, 16 km from Brisbane CBD (Central Business District), Pullman Brisbane Airport features a year-round outdoor..."
12,Treasury Brisbane,"Brisbane CBD, Brisbane",8.8,Fabulous ,"2,199 reviews",350 m from centre,Not Travel Sustainable,The award-winning Treasury Casino & Hotel boasts luxurious rooms and suites offering old-world charm and modern comforts such as free WiFi. 
13,Quest Eight Mile Plains,"Eight Mile Plains, Brisbane",9.0,Superb ,467 reviews,13.9 km from centre,Travel Sustainable,The new Quest Eight Mile Plains offers accommodation for business or leisure travellers in Brisbane. 
14,"Hotel Indigo Brisbane City Centre, an IHG Hotel","Brisbane CBD, Brisbane",8.8,Fabulous ,926 reviews,100 m from centre,Travel Sustainable,"Located in the heart of the Brisbane CBD (Central Business District), Hotel Indigo Brisbane Centre offers air-conditioned rooms. Queen Street Mall and Roma Street are just 5 minutes’ walk away. "
15,Royal Albert Hotel,"Brisbane CBD, Brisbane",8.8,Fabulous ,"2,096 reviews",450 m from centre,Travel Sustainable,Royal Albert Boutique Hotel offers spacious accommodation with 24-hour reception in the heart of Brisbane CBD (Central Business District). 
16,The Inchcolm by Ovolo,"Spring Hill, Brisbane",8.8,Fabulous ,763 reviews,0.7 km from centre,Travel Sustainable,The Inchcolm by Ovolo has been elegantly refurbished and offers luxurious boutique accommodation in the heart of Brisbane. 
17,Royal On The Park,"Brisbane CBD, Brisbane",8.6,Fabulous ,"8,009 reviews",0.8 km from centre,Travel Sustainable,"Directly opposite the City Botanic Gardens, Royal On The Park features free WiFi, a lounge bar and a restaurant. Guests enjoy an outdoor swimming pool and a hot tub. "
18,Hilton Brisbane,"Brisbane CBD, Brisbane",8.4,Very good ,"1,786 reviews",500 m from centre,Travel Sustainable,Located in Brisbane's CBD (Central Business District) Hilton Brisbane is just 2 minutes’ walk from Queen Street Mall and 10 minutes’ walk from South Bank Parklands. 
19,Felix 374 FF Apartment,"Brisbane CBD, Brisbane",9.6,Exceptional ,214 reviews,0.8 km from centre,Not Travel Sustainable,"Located in Brisbane, Felix 374 FF Apartment offers a terrace with city and river views, as well as a year-round outdoor pool, fitness centre and sauna. "
20,Glen Hotel and Suites,"Eight Mile Plains, Brisbane",9.0,Superb ,457 reviews,14.8 km from centre,Travel Sustainable,"Featuring free WiFi, a heated swimming pool and 2 restaurants, Glen Hotel and Suites is located 15 minutes' drive from central Brisbane. "
21,The Westin Brisbane,"Brisbane CBD, Brisbane",8.7,Fabulous ,384 reviews,0.7 km from centre,Travel Sustainable,"Boasting an outdoor swimming pool, 24-hour fitness centre and spa facilities, The Westin Brisbane is located in the heart of Brisbane CBD, surrounded by a variety of restaurants, cafes, shopping and..."
22,Brisbane Marriott Hotel,"Brisbane CBD, Brisbane",8.4,Very good ,744 reviews,1.2 km from centre,Travel Sustainable,"Located in Brisbane's CBD (Central Business District), Brisbane Marriott Hotel, overlooks the iconic Story Bridge and offers modern rooms with extra-comfortable beds and panoramic views. "
23,Domain Serviced Apartments,"Ascot, Brisbane",8.7,Fabulous ,793 reviews,5.8 km from centre,Travel Sustainable,"Domain Serviced Apartments is conveniently located on the Racecourse Road precinct of Ascot, walking distance to a variety of dining and shopping options. "
24,Quest Cannon Hill,Brisbane,8.8,Fabulous ,578 reviews,6.6 km from centre,Travel Sustainable,"Set in Brisbane, Quest Cannon Hill offers accommodation with a terrace or a balcony, free WiFi and flat-screen TV, as well as an outdoor swimming pool and a fitness centre. "
